created_at,text,sentiment
"['2022-05-20T04:03:19.000Z', 'meu top 3 do harry’s house: - Late Night Talking - Little Freak - Daydreaming', 'neutral']"
"['2022-05-20T04:03:19.000Z', 'OH MY GOD OH MY GOD OH MY GOD', 'negative']"
"['2022-05-20T04:03:20.000Z', 'Got I’m on my period so I already know that the new album is gonna have me crying regardless', 'neutral']"
"['2022-05-20T04:03:20.000Z', 'HS3 RIGHT NEOWWW', 'neutral']"
"['2022-05-20T04:03:20.000Z', 'merry fucking christmas', 'negative']"
"['2022-05-20T04:03:20.000Z', 'ok spotify got their shit together IM GOONG IN AHHHHHH', 'negative']"
"['2022-05-20T04:03:21.000Z', 'ALBUM OF THE YEAR ABSOLUTELY', 'positive']"
"['2022-05-20T04:03:21.000Z', 'the way Harry had me on the FIRST BREATH of track one', 'neutral']"
"['2022-05-20T04:03:21.000Z', 'already obsessed with music for a sushi restaurant', 'positive']"
"['2022-05-20T04:03:21.000Z', 'THE DOLBY ATMOS ON APPLE MUSIC IS EATING RN, OH MY GOD', 'positive']"
"['2022-05-20T04:03:21.000Z', 'it tanked already', 'negative']"
"['2022-05-20T04:03:21.000Z', 'HOLY HOLY IS AMAZING MUSIC FOR A SUSHI RESTAURANT&gt;&gt;&gt;', 'positive']"
"['2022-05-20T04:03:21.000Z', 'oh nvm carry on lol', 'neutral']"
"['2022-05-20T04:03:21.000Z', 'no bc music for a sushi rest is giving ant farm theme song', 'neutral']"
"['2022-05-20T04:03:22.000Z', 'THE FRUITMAN IS HERE', 'neutral']"
"['2022-05-20T04:03:22.000Z', 'Sorry not sorry for the person I have become bc is finally here!!!!', 'neutral']"
"['2022-05-20T04:03:23.000Z', 'MUSIC FOR A SUSHI RESTAURANT FUCKING BANGS OH MY GOD PLEASE THE FALSETTO??? THE SCATTING IN THE BACKGROUND??? THE HORNS!!!!!!!! HELLO I AM ON THE FLOOR.', 'negative']"
"['2022-05-20T04:03:23.000Z', 'Hot daddy', 'neutral']"
"['2022-05-20T04:03:23.000Z', 'Sobre Daydreaming: HARRY STYLES ISSO ME PARECE MPB 🚨❤🚨🥰', 'positive']"
"['2022-05-20T04:03:23.000Z', 'It’s been like 2 seconds. Calm yourself', 'neutral']"
"['2022-05-20T04:03:23.000Z', 'Music For a Sushi Restaurant: MAJOR PRINCE VIBES! his falsetto w/ harmonies are GORG. literally couldn’t think of a better opener for an album!!', 'positive']"
"['2022-05-20T04:03:23.000Z', 'Oh. My. God.', 'negative']"
"['2022-05-20T04:03:22.000Z', 'Deep breaths. third solo album has arrived. Listen in with Atmos:', 'neutral']"
"['2022-05-20T04:03:23.000Z', 'Kendrick would have done more with physicals', 'neutral']"
"['2022-05-20T04:03:23.000Z', 'give me a ticket PLEASE', 'neutral']"
"['2022-05-20T04:03:23.000Z', 'if the staaarrrss were edible and our heaarrtss were never full could we live with just a taaassstte', 'neutral']"
"['2022-05-20T04:03:24.000Z', 'my new form of therapy is out!', 'positive']"
"['2022-05-20T04:03:24.000Z', 'Immaginate una casa silenziosa alle 5.00 am e mentre il mondo pian piano si sveglia tu stai con le cuffie, sul divano, ad ascoltare ad occhi chiusi Soli tu e lui. E il resto fuori.', 'positive']"
"['2022-05-20T04:03:23.000Z', ""Harry's House sucks.... it's honestly boring and monotonic.... 😒I was hoping it'll sound more exciting...I was bored the whole time"", 'negative']"
"['2022-05-20T04:03:24.000Z', 'LETS GO', 'neutral']"
"['2022-05-20T04:03:24.000Z', ""I've never had sushi before but I think I will soon"", 'neutral']"
"['2022-05-20T04:03:23.000Z', 'YESSSSSSSSS OH MY GOD IM SHAKING IM SO EXCITED', 'positive']"
"['2022-05-20T04:03:24.000Z', '1st song eating already omg….', 'neutral']"
"['2022-05-20T04:03:25.000Z', 'THAT BASS LIIIIIIIIIINE', 'neutral']"
"['2022-05-20T04:03:25.000Z', 'Here we go. Who needs sleep?! Also, this first song is giving me some vibes which I’m loving!!! My boyband loving heart is so happy. Congrats on', 'positive']"
"['2022-05-20T04:03:25.000Z', 'i love it hereeeee', 'positive']"
"['2022-05-20T04:03:25.000Z', 'This is the perfect opener for the album', 'positive']"
"['2022-05-20T04:03:25.000Z', 'Daqui a 1 semana eu volto com meu novo ranking para 1- DayLight 2- DayDreaming 3- Love if My Life 4- Late Night Talking 5- Cinema 6- As It Was 7- Boyfriends 8- Music for a Sushi Restaurant 9- Satellite 10- Keep Driving 11- Little Freak 12- Matilda 13- GrapeJuice', 'neutral']"
"['2022-05-20T04:03:25.000Z', 'Mi Spotify no sirve o queeeeee?', 'positive']"
"['2022-05-20T04:03:26.000Z', 'MUSIC FOR A SUSHI RESTURANT', 'neutral']"
"['2022-05-20T04:03:26.000Z', 'Welcome Home. is out now.', 'positive']"
"['2022-05-20T04:03:26.000Z', 'SUSHI IS SO GOOD FUCKKKK', 'positive']"
"['2022-05-20T04:03:26.000Z', '☣️ CHECK OUT MY MUSIC☢️', 'neutral']"
"['2022-05-20T04:03:27.000Z', 'Such a fuckin vibe!!!', 'positive']"
"['2022-05-20T04:03:27.000Z', 'here we go 🙏🏻', 'positive']"
"['2022-05-20T04:03:27.000Z', 'AHHHHHAHAHAHAKSKAKAKQ', 'positive']"
"['2022-05-20T04:03:27.000Z', 'GOOD BUT BETTER IF U GAVE ME TIX', 'neutral']"
"['2022-05-20T04:03:26.000Z', 'Trying to open but Spotify hates me', 'negative']"
"['2022-05-20T04:03:27.000Z', 'Apple Music is covered all with Harry', 'positive']"
"['2022-05-20T04:03:28.000Z', 'Update: IT’S WORKING!!', 'positive']"
"['2022-05-20T04:03:28.000Z', 'laterrrrrrr, i’ll be busy for the rest of the night', 'neutral']"
"['2022-05-20T04:03:28.000Z', '1 second and I’m loving it JESUS THIS MAN CAN DO EVERYTHING', 'positive']"
"['2022-05-20T04:03:28.000Z', ""AAAAHHHHH IT'S OUT!! IT'S OUT AND IT'S ALREADY INCREDIBLE PLEASE AAWEHFAHEI"", 'positive']"
"['2022-05-20T04:03:29.000Z', 'MUSIC FOR A SUSHIE RESTAURANT?!??? STFUUUU OMGGGGG', 'negative']"
"['2022-05-20T04:03:29.000Z', 'annoying bitches going crazy rn', 'negative']"
"['2022-05-20T04:03:29.000Z', 'meu primeiro top de 1. matilda 2. daylight 3. daydreaming 4. little freak 5. cinema 6. satellite 7. grapejuice 8. love of my life 9. as it was 10. late night talking 11. music for a sushi restaurant 12. boyfriends 13. keep driving', 'neutral']"
"['2022-05-20T04:03:29.000Z', 'THE INTRO??? THIS SONF ON NOISE CANCELLIJG HEADPHONES BITCH THISNJUST WENT IN AND OUT MY BUTTHOLE', 'negative']"
"['2022-05-20T04:03:29.000Z', 'SPOTIFY WHERE IS HE', 'neutral']"
"['2022-05-20T04:03:29.000Z', ""is so SO good, so beautiful. And it's not what I was expecting at all, it's so much better. I'm totally blown away. you're incredible and truly a unique gift to this world. I'm so thankful for you and your music, and I'm so so proud of you! Love you"", 'positive']"
"['2022-05-20T04:03:28.000Z', 'MUSIC FOR A SUSHI RES SLAPS SOO HARD', 'negative']"
"['2022-05-20T04:03:29.000Z', 'REACTION THREAD', 'neutral']"
"['2022-05-20T04:03:29.000Z', 'OH MY GODH. MUSIC FOR A SUSHI RESTAURANT🔥🔥🔥🔥', 'positive']"
"['2022-05-20T04:03:30.000Z', 'PROUD OF HARRY', 'positive']"
"['2022-05-20T04:03:30.000Z', 'WHAT IS THIS HARRY', 'neutral']"
"['2022-05-20T04:03:31.000Z', 'Playing NEXT!!!!!! LISTEN -', 'neutral']"
"['2022-05-20T04:03:30.000Z', 'Spotify is broken', 'negative']"
"['2022-05-20T04:03:30.000Z', 'Music for a sushi restaurant- YOU KNOW I LOVE YA BABE', 'positive']"
"['2022-05-20T04:03:30.000Z', 'LISTENING TO HARRY’S HOUSE RN', 'neutral']"
"['2022-05-20T04:03:30.000Z', 'MY BODY IS LITERALLY VIBRATING WHAT RHE FUCK MUSIC FOR A SUSHI RESTAURANT', 'negative']"
"['2022-05-20T04:03:30.000Z', 'This is his new best album opener!', 'positive']"
"['2022-05-20T04:03:30.000Z', 'what the fuck', 'negative']"
"['2022-05-20T04:03:30.000Z', 'already breaking Spotify', 'negative']"
"['2022-05-20T04:03:31.000Z', 'JUST A LITTLE TASTE, YOU KNOW I LOVE YOU BABE', 'positive']"
"['2022-05-20T04:03:31.000Z', 'TRACK 1: MUSIC FOR A SUSHI RESTAURANT 10/10 THE BEAT? THE ENERGY? OMFG', 'neutral']"
"['2022-05-20T04:03:31.000Z', 'MUSIC FOR A SUSHI RESTAURANT IS SO FUN', 'positive']"
"['2022-05-20T04:03:31.000Z', 'his voice in music for a sushi restaurant…im gripping the wall', 'neutral']"
"['2022-05-20T04:03:31.000Z', 'MFASR IS DEFINITELY GONNA BE MY FAVORITE ARE YOU FUCKING KIDDING ME', 'negative']"
"['2022-05-20T04:03:31.000Z', ""you feel a fool, you're back at it again"", 'negative']"
"['2022-05-20T04:03:31.000Z', 'now listening to:', 'neutral']"
"['2022-05-20T04:03:31.000Z', 'everyone shut the hell up it’s Harry Time™️', 'negative']"
"['2022-05-20T04:03:32.000Z', 'Retweet my dm’s are wide open for anyone looking for harry styles ONO NY tickets for fv xx or text 6517605153', 'neutral']"
"['2022-05-20T04:03:32.000Z', 'THE SCATTING', 'neutral']"
"['2022-05-20T04:03:33.000Z', 'LIVETWEETING JUST FINISHED MUSIC FOR A SUSHI RESTAURANT IT WAS SO GOOD AND FUNKY VERY ANT FARM', 'positive']"
"['2022-05-20T04:03:32.000Z', 'Thank you, Harry! I love you.', 'positive']"
"['2022-05-20T04:03:31.000Z', 'IM PISSING MYSELF', 'negative']"
"['2022-05-20T04:03:32.000Z', 'i am already crying it’s been maybe a minute', 'negative']"
"['2022-05-20T04:03:33.000Z', 'harry opening with music for a sushi restaurant,, no words', 'neutral']"
"['2022-05-20T04:03:33.000Z', 'TORONTO LOVE ON TOUR GOING TO JUMPING TO MUSIC FOR SUSHI RESTAURANT', 'positive']"
"['2022-05-20T04:03:33.000Z', 'KING SHT', 'negative']"
"['2022-05-20T04:03:33.000Z', 'let me in harry', 'neutral']"
"['2022-05-20T04:03:33.000Z', 'Lol @ breaking Spotify 🙃', 'neutral']"
"['2022-05-20T04:03:33.000Z', 'JSLABSLQSBQLDBQLSNOW DKWBS WHAT A WAY TO START LOML', 'positive']"
"['2022-05-20T04:03:33.000Z', 'BENDITO SEAS HARRY STYLES!!!', 'neutral']"
"['2022-05-20T04:03:33.000Z', 'I’m in WITH HARRY', 'positive']"
"['2022-05-20T04:03:33.000Z', 'AHHHH TE AMO HARRY STYLES', 'positive']"
"['2022-05-20T04:03:34.000Z', 'music for a sushi restaurant 🕺🏼🕺🏼', 'neutral']"
"['2022-05-20T04:03:34.000Z', 'MUSIC FOR A SUSHI RESTAURANT IS SO FUN', 'positive']"
"['2022-05-20T04:03:34.000Z', 'ITSSSSS HEREEEEE 🤪', 'positive']"
"['2022-05-20T04:03:34.000Z', 'tweeting my reactions to', 'neutral']"
"['2022-05-20T04:03:34.000Z', 'Me waiting for to drop on Spotify', 'neutral']"
"['2022-05-20T04:03:34.000Z', 'IM LEVITATING RN 🤩🤩🤩', 'positive']"
"['2022-05-20T04:03:35.000Z', 'Crying over Matilda', 'negative']"
"['2022-05-20T04:03:36.000Z', 'MOOD', 'neutral']"
"['2022-05-20T04:03:36.000Z', 'Literally listening rn 👏🏾🙌🏾✨🤗🔥', 'positive']"
"['2022-05-20T04:03:36.000Z', 'JESUS FUCKING CHRIST', 'negative']"
"['2022-05-20T04:03:36.000Z', 'as It was Matilda Satellite keep driving cinema love of my life music for a sushi restaurant daylight daydreaming grapejuice little freak boyfriends late night talking', 'neutral']"
"['2022-05-20T04:03:36.000Z', ""i will burn your company to the ground if you don't give me right now"", 'negative']"
"['2022-05-20T04:03:37.000Z', 'SAY IT 🔥🔥🔥🔥🔥🔥❤❤', 'positive']"
"['2022-05-20T04:03:37.000Z', ""We've been doing all this. Late night. Talking 🥰"", 'positive']"
"['2022-05-20T04:03:37.000Z', 'a outro de cinema JSKASKAHJKHAJK YOU GOT YOU GOT THE CINEMA, I BRING THE POP TO THE CINEMA, YOU POP WHEN WE GET INTIMATE sooo funky', 'positive']"
"['2022-05-20T04:03:37.000Z', 'Therapy =', 'neutral']"
"['2022-05-20T04:03:37.000Z', 'my reaction thread of LOL', 'neutral']"
"['2022-05-20T04:03:38.000Z', 'OH MY GOD THIS ALBUM IM NOT READY', 'negative']"
"['2022-05-20T04:03:37.000Z', 'basta 😭😭😭😭', 'positive']"
"['2022-05-20T04:03:38.000Z', ""Music for a Sushi Restaurant- Literally it's title. Not a loud song, LOVE the upbeat vibe of it from the instruments. A solid 8."", 'positive']"
"['2022-05-20T04:03:38.000Z', 'won’t let me play it', 'negative']"
"['2022-05-20T04:03:38.000Z', 'Flop', 'negative']"
"['2022-05-20T04:03:38.000Z', 'not good american express.', 'negative']"
"['2022-05-20T04:03:38.000Z', 'slayed.', 'neutral']"
"['2022-05-20T04:03:38.000Z', 'ITS FINALLLYYYY HEREEEEEEEEE', 'positive']"
"['2022-05-20T04:03:39.000Z', 'I heard the very first note on music for a sushi restaurant and told my roommate “oh shit this slaps”', 'neutral']"
"['2022-05-20T04:03:38.000Z', 'it’s time 🏠\U0001faf6🏽', 'neutral']"
"['2022-05-20T04:03:37.000Z', 'my slut is about to start now. cook egg on me even tho i literally throw up from eggs smell lmao', 'negative']"
"['2022-05-20T04:03:39.000Z', 'No it’s cause I LOVE YOU BABE', 'positive']"
"['2022-05-20T04:03:39.000Z', 'the real jumpscare', 'neutral']"
"['2022-05-20T04:03:39.000Z', 'Music For a Sushi Restaurant: OMIGOD THE INTRO- THE HARMONIES ON THE “AHHH”s “the spoken part before the chorus” Omigod this chorus is insane. No words. HE SOUNDS SO GOOD SONG OF THE SUMMER FOR SURE', 'positive']"
"['2022-05-20T04:03:39.000Z', 'TE AMO MUCHO HARRY STYLES 🖤✨\U0001faf6🏼 -', 'neutral']"
"['2022-05-20T04:03:40.000Z', 'giggling and swinging my feet in the air \U0001faf6🏻', 'neutral']"
"['2022-05-20T04:03:40.000Z', 'music for a sushi restaurant is funkyyy. he DEFINITELY spoke to some black people for this one', 'positive']"
"['2022-05-20T04:03:40.000Z', 'i’m annoying bitches 😁', 'negative']"
"['2022-05-20T04:03:40.000Z', 'anyways', 'neutral']"
"['2022-05-20T04:03:41.000Z', ""I already love the whole album, and it's only the first song"", 'positive']"
"['2022-05-20T04:03:41.000Z', 'just walked into', 'neutral']"
"['2022-05-20T04:03:41.000Z', 'AHHHH THE CHORUS OMFG', 'positive']"
"['2022-05-20T04:03:41.000Z', 'NAUR THE WHISPERING IN GRAPEFRUIT???', 'neutral']"
"['2022-05-20T04:03:41.000Z', 'cares ? yeat Betta.', 'neutral']"
"['2022-05-20T04:03:42.000Z', 'wtf this is perfect!!', 'positive']"
"['2022-05-20T04:03:42.000Z', 'LATE NIGHT TALKING 🔥', 'positive']"
"['2022-05-20T04:03:42.000Z', 'FINALLY FOR US WEST COASTERS, HAPPY DAY TO ALL ABS TO ALL A GOODNIGHT', 'positive']"
"['2022-05-20T04:03:42.000Z', 'IM HAVING A HEART ATTACK WHAT', 'negative']"
"['2022-05-20T04:03:42.000Z', 'lmao it pulled up with no songs immediately after I tweeted like Spotify was like “heard you were talking shit”', 'negative']"
"['2022-05-20T04:03:42.000Z', 'music for a sushi restaurant: i am OBSESSED i want this to be the soundtrack of my life ITS CUZ I LOVE YOU BABE', 'positive']"
"['2022-05-20T04:03:43.000Z', ""Love of my life elle est incroyable j'adore 🤩"", 'positive']"
"['2022-05-20T04:03:43.000Z', 'It’s 9pm on a Thursday but I’m already excited for Friday because I can listen to all day longgggg', 'positive']"
"['2022-05-20T04:03:43.000Z', 'MUSIC FOR A SUSHI RESTAURANT IS GOING TO BE AN ✨EXPERIENCE✨ LIVE OMFG', 'positive']"
"['2022-05-20T04:03:43.000Z', 'that intro was groovy asf', 'positive']"
"['2022-05-20T04:03:43.000Z', 'ITS HERE IM HOME', 'positive']"
"['2022-05-20T04:03:43.000Z', 'YOU KNOW I LOVE YOU BABE', 'positive']"
"['2022-05-20T04:03:43.000Z', 'is out now!! I am so proud of you and love this album already. I hope you never forget how much you matter to people like me. Thank you for always making my life better and less lonely. I love you, always. 💕', 'positive']"
"['2022-05-20T04:03:43.000Z', 'Never try to convert a Muslim to Christianity You will lose and end up accepting the truth and revert to Islam 👇 Tony is a Christian form Canada : I wanted to bring Muslims to Christianity! but he reverted to Islam', 'negative']"
"['2022-05-20T04:03:44.000Z', 'HOLY FUCKING SHIT WHY IS THIS SO GROOVY', 'negative']"
"['2022-05-20T04:03:44.000Z', 'listening party happening NOW', 'neutral']"
"['2022-05-20T04:03:45.000Z', 'ALRIGHT LETS GOOOO', 'positive']"
"['2022-05-20T04:03:45.000Z', 'is out and I’m having a blast. what a gorgeous work of art.', 'positive']"
"['2022-05-20T04:03:45.000Z', 'is out right now and you should be listening', 'positive']"
"['2022-05-20T04:03:45.000Z', 'welcome home', 'positive']"
"['2022-05-20T04:03:46.000Z', 'ma io quanto posso essere fiera', 'positive']"
"['2022-05-20T04:03:46.000Z', 'SO SO GOOD', 'positive']"
"['2022-05-20T04:03:46.000Z', 'Sing it with me now “Holdin’ me back, spotify’s holdin’ me back. I want you to upload the album, not crash, why can’t we leave it at that?”', 'neutral']"
"['2022-05-20T04:03:46.000Z', 'is an actual masterpiece, hit after hit asdfghjmk', 'positive']"
"['2022-05-20T04:03:46.000Z', 'Queer baiting impact', 'neutral']"
"['2022-05-20T04:03:46.000Z', 'Justin was found crying', 'neutral']"
"['2022-05-20T04:03:46.000Z', 'BEEFING', 'neutral']"
"['2022-05-20T04:03:47.000Z', 'Spotify crashed following the release of new album, .', 'negative']"
"['2022-05-20T04:03:48.000Z', 'Track 1 - Okay I’m loving the vibes. The harmonies is carrying the song!!Defintely gonna be a grower but it is a nice intro.', 'positive']"
"['2022-05-20T04:03:47.000Z', 'Murdock for a sushi restaurant is literally the ant farm opening, but better', 'positive']"
"['2022-05-20T04:03:48.000Z', 'Good morning!! Have a lovely day full of music!!! 💚💙', 'positive']"
"['2022-05-20T04:03:47.000Z', 'meu top 3 do harry’s house 1 - matilda 2 - daylight 3 - love of my life', 'positive']"
"['2022-05-20T04:03:47.000Z', 'watch multiverse of madness instead', 'neutral']"
"['2022-05-20T04:03:48.000Z', 'Mood', 'neutral']"
"['2022-05-20T04:03:48.000Z', 'HERE WE GOOOO', 'neutral']"
"['2022-05-20T04:03:49.000Z', 'COOK AN EGG ON ME', 'neutral']"
"['2022-05-20T04:03:49.000Z', 'music for a sushi restaurant reminds me of the ant farm theme song omg', 'positive']"
"['2022-05-20T04:03:49.000Z', 'me listening to music for a sushi restaurant', 'neutral']"
"['2022-05-20T04:03:49.000Z', 'music for sushi restaurant making me want to bust mf move', 'negative']"
"['2022-05-20T04:03:50.000Z', 'FAN FAVORITE I call it', 'positive']"
"['2022-05-20T04:03:50.000Z', 'The best is 🤤🤤🤤🤤🤤', 'positive']"
"['2022-05-20T04:03:50.000Z', 'FUXK 41 MINUTES FUCK YES', 'negative']"
"['2022-05-20T04:03:50.000Z', ""he's handsome btw"", 'positive']"
"['2022-05-20T04:03:50.000Z', 'first song in and already a serve 😍', 'positive']"
"['2022-05-20T04:03:50.000Z', 'music for a sushi house very Michael Jackson', 'neutral']"
"['2022-05-20T04:03:50.000Z', 'FINALLYYYYY 😭', 'positive']"
"['2022-05-20T04:03:50.000Z', 'STREAMM!!!', 'positive']"
"['2022-05-20T04:03:50.000Z', 'HARRYS HOUSE. OUT NOOWWWW', 'negative']"
"['2022-05-20T04:03:52.000Z', 'I’m about to start sobbing', 'negative']"
"['2022-05-20T04:03:51.000Z', 'we’ve heard the leaks and enough time has passed', 'neutral']"
"['2022-05-20T04:03:51.000Z', 'TRUMPETS?????', 'neutral']"
"['2022-05-20T04:03:51.000Z', 'in the best way this sounds like the ant farm theme song', 'positive']"
"['2022-05-20T04:03:51.000Z', 'IM LISTENING RIGHT NOW', 'neutral']"
"['2022-05-20T04:03:52.000Z', 'if you are not listening with headphones, stop what you’re doing and put them in immediately.', 'negative']"
"['2022-05-20T04:03:52.000Z', 'i don’t think i’ve ever had this reaction to an album. i’m in love', 'positive']"
"['2022-05-20T04:03:52.000Z', ""WELCOME HARRY'S HOUSE ERA!!!"", 'positive']"
"['2022-05-20T04:03:52.000Z', 'LISTENING AAAAAA', 'neutral']"
"['2022-05-20T04:03:52.000Z', 'SUMMER 22!!!', 'positive']"
"['2022-05-20T04:03:52.000Z', ""SCREAMING I'M ACTUALLY LISTENING TO HARRY STYLES'S THIRD ALBUM RIGHT NOW WHAT THE FUCKKKKKK 😭😍"", 'positive']"
"['2022-05-20T04:03:54.000Z', 'Hi baby', 'neutral']"
"['2022-05-20T04:03:53.000Z', 'me right now actually', 'neutral']"
"['2022-05-20T04:03:54.000Z', 'We love it thank you 🤍', 'positive']"
"['2022-05-20T04:03:54.000Z', 'PRESSES SHUFFLE ON THE HARRY HOUSE ALBUM AND THE FIRST SONG TO PLAY IS MATILDA. AND IM SOBBING ITS SO GOOD HOUSE', 'positive']"
"['2022-05-20T04:03:54.000Z', 'It’s Time \U0001fae1', 'neutral']"
"['2022-05-20T04:03:54.000Z', 'Oh Shawn Mendes needs to RUN', 'neutral']"
"['2022-05-20T04:03:54.000Z', 'harrrry wtffff "" cuzzz I love you babe in every wayyyy"" just a lil taste "" 😭😭😩', 'positive']"
"['2022-05-20T04:03:54.000Z', 'Music For A Sushi Restaurant is giving glee…', 'positive']"
"['2022-05-20T04:03:55.000Z', 'am having the same issue :((', 'negative']"
"['2022-05-20T04:03:54.000Z', 'Making one of my irl listen to 😩🖐️', 'neutral']"
"['2022-05-20T04:03:55.000Z', 'ITS HEREEEEE IM HOME!!!!!', 'positive']"
"['2022-05-20T04:03:55.000Z', 'is here bitches', 'neutral']"
"['2022-05-20T04:03:55.000Z', 'sushi restaurant is…not what i expected', 'negative']"
"['2022-05-20T04:03:55.000Z', 'PROUD OF HARRY', 'positive']"
"['2022-05-20T04:03:56.000Z', 'calling it now it’s winning a Grammy', 'positive']"
"['2022-05-20T04:03:55.000Z', 'IM LISTENING TO IT RN OMFG ITS SOOOOO GOODDDDD', 'positive']"
"['2022-05-20T04:03:55.000Z', 'YOU KNOW I LOVE YOU BABY', 'positive']"
