created_at,text,emotion
2022-05-20T04:03:31.000Z,Playing NEXT!!!!!! LISTEN -,fear
2022-05-20T04:03:30.000Z,Spotify is broken,surpise
2022-05-20T04:03:30.000Z,Music for a sushi restaurant- YOU KNOW I LOVE YA BABE,joy
2022-05-20T04:03:30.000Z,LISTENING TO HARRY’S HOUSE RN,fear
2022-05-20T04:03:30.000Z,MY BODY IS LITERALLY VIBRATING WHAT RHE FUCK MUSIC FOR A SUSHI RESTAURANT,joy
2022-05-20T04:03:30.000Z,This is his new best album opener!,surpise
2022-05-20T04:03:30.000Z,what the fuck,joy
2022-05-20T04:03:30.000Z,already breaking Spotify,surpise
2022-05-20T04:03:31.000Z,"JUST A LITTLE TASTE, YOU KNOW I LOVE YOU BABE",joy
2022-05-20T04:03:31.000Z,TRACK 1: MUSIC FOR A SUSHI RESTAURANT 10/10 THE BEAT? THE ENERGY? OMFG,surpise
2022-05-20T04:03:31.000Z,MUSIC FOR A SUSHI RESTAURANT IS SO FUN,joy
2022-05-20T04:03:31.000Z,his voice in music for a sushi restaurant…im gripping the wall,anger
2022-05-20T04:03:31.000Z,MFASR IS DEFINITELY GONNA BE MY FAVORITE ARE YOU FUCKING KIDDING ME,joy
2022-05-20T04:03:31.000Z,"you feel a fool, you're back at it again",joy
2022-05-20T04:03:31.000Z,now listening to:,joy
2022-05-20T04:03:31.000Z,everyone shut the hell up it’s Harry Time™️,anger
2022-05-20T04:03:32.000Z,Retweet my dm’s are wide open for anyone looking for harry styles ONO NY tickets for fv xx or text 6517605153,fear
2022-05-20T04:03:32.000Z,THE SCATTING,joy
2022-05-20T04:03:33.000Z,LIVETWEETING JUST FINISHED MUSIC FOR A SUSHI RESTAURANT IT WAS SO GOOD AND FUNKY VERY ANT FARM,joy
2022-05-20T04:03:32.000Z,"Thank you, Harry! I love you.",joy
2022-05-20T04:03:31.000Z,IM PISSING MYSELF,anger
2022-05-20T04:03:32.000Z,i am already crying it’s been maybe a minute,joy
2022-05-20T04:03:33.000Z,"harry opening with music for a sushi restaurant,, no words",fear
2022-05-20T04:03:33.000Z,TORONTO LOVE ON TOUR GOING TO JUMPING TO MUSIC FOR SUSHI RESTAURANT,joy
2022-05-20T04:03:33.000Z,KING SHT,joy
2022-05-20T04:03:33.000Z,let me in harry,sadness
2022-05-20T04:03:33.000Z,Lol @ breaking Spotify 🙃,surpise
2022-05-20T04:03:33.000Z,JSLABSLQSBQLDBQLSNOW DKWBS WHAT A WAY TO START LOML,joy
2022-05-20T04:03:33.000Z,BENDITO SEAS HARRY STYLES!!!,fear
2022-05-20T04:03:33.000Z,I’m in WITH HARRY,fear
2022-05-20T04:03:33.000Z,AHHHH TE AMO HARRY STYLES,fear
2022-05-20T04:03:34.000Z,music for a sushi restaurant 🕺🏼🕺🏼,joy
2022-05-20T04:03:34.000Z,MUSIC FOR A SUSHI RESTAURANT IS SO FUN,joy
2022-05-20T04:03:34.000Z,ITSSSSS HEREEEEE 🤪,joy
2022-05-20T04:03:34.000Z,tweeting my reactions to,joy
2022-05-20T04:03:34.000Z,Me waiting for to drop on Spotify,surpise
2022-05-20T04:03:34.000Z,IM LEVITATING RN 🤩🤩🤩,joy
2022-05-20T04:03:35.000Z,Crying over Matilda,joy
2022-05-20T04:03:36.000Z,MOOD,sadness
2022-05-20T04:03:36.000Z,Literally listening rn 👏🏾🙌🏾✨🤗🔥,joy
2022-05-20T04:03:36.000Z,JESUS FUCKING CHRIST,joy
2022-05-20T04:03:36.000Z,as It was Matilda Satellite keep driving cinema love of my life music for a sushi restaurant daylight daydreaming grapejuice little freak boyfriends late night talking,fear
2022-05-20T04:03:36.000Z,i will burn your company to the ground if you don't give me right now,fear
2022-05-20T04:03:37.000Z,SAY IT 🔥🔥🔥🔥🔥🔥❤❤,surpise
2022-05-20T04:03:37.000Z,We've been doing all this. Late night. Talking 🥰,sadness
2022-05-20T04:03:37.000Z,"a outro de cinema JSKASKAHJKHAJK YOU GOT YOU GOT THE CINEMA, I BRING THE POP TO THE CINEMA, YOU POP WHEN WE GET INTIMATE sooo funky",joy
2022-05-20T04:03:37.000Z,Therapy =,joy
2022-05-20T04:03:37.000Z,my reaction thread of LOL,joy
2022-05-20T04:03:38.000Z,OH MY GOD THIS ALBUM IM NOT READY,joy
2022-05-20T04:03:37.000Z,basta 😭😭😭😭,joy
2022-05-20T04:03:38.000Z,"Music for a Sushi Restaurant- Literally it's title. Not a loud song, LOVE the upbeat vibe of it from the instruments. A solid 8.",joy
2022-05-20T04:03:38.000Z,won’t let me play it,sadness
2022-05-20T04:03:38.000Z,Flop,joy
2022-05-20T04:03:38.000Z,not good american express.,surpise
2022-05-20T04:03:38.000Z,slayed.,surpise
2022-05-20T04:03:38.000Z,ITS FINALLLYYYY HEREEEEEEEEE,joy
2022-05-20T04:03:39.000Z,I heard the very first note on music for a sushi restaurant and told my roommate “oh shit this slaps”,surpise
2022-05-20T04:03:38.000Z,it’s time 🏠🫶🏽,joy
2022-05-20T04:03:37.000Z,my slut is about to start now. cook egg on me even tho i literally throw up from eggs smell lmao,fear
2022-05-20T04:03:39.000Z,No it’s cause I LOVE YOU BABE,joy
2022-05-20T04:03:39.000Z,the real jumpscare,sadness
2022-05-20T04:03:39.000Z,Music For a Sushi Restaurant: OMIGOD THE INTRO- THE HARMONIES ON THE “AHHH”s “the spoken part before the chorus” Omigod this chorus is insane. No words. HE SOUNDS SO GOOD SONG OF THE SUMMER FOR SURE,surpise
2022-05-20T04:03:39.000Z,TE AMO MUCHO HARRY STYLES 🖤✨🫶🏼 -,fear
2022-05-20T04:03:40.000Z,giggling and swinging my feet in the air 🫶🏻,fear
2022-05-20T04:03:40.000Z,music for a sushi restaurant is funkyyy. he DEFINITELY spoke to some black people for this one,fear
2022-05-20T04:03:40.000Z,i’m annoying bitches 😁,sadness
2022-05-20T04:03:40.000Z,anyways,joy
2022-05-20T04:03:41.000Z,"I already love the whole album, and it's only the first song",joy
2022-05-20T04:03:41.000Z,just walked into,joy
2022-05-20T04:03:41.000Z,AHHHH THE CHORUS OMFG,surpise
2022-05-20T04:03:41.000Z,NAUR THE WHISPERING IN GRAPEFRUIT???,joy
2022-05-20T04:03:41.000Z,cares ? yeat Betta.,sadness
2022-05-20T04:03:42.000Z,wtf this is perfect!!,sadness
2022-05-20T04:03:42.000Z,LATE NIGHT TALKING 🔥,sadness
2022-05-20T04:03:42.000Z,"FINALLY FOR US WEST COASTERS, HAPPY DAY TO ALL ABS TO ALL A GOODNIGHT",joy
2022-05-20T04:03:42.000Z,IM HAVING A HEART ATTACK WHAT,sadness
2022-05-20T04:03:42.000Z,lmao it pulled up with no songs immediately after I tweeted like Spotify was like “heard you were talking shit”,surpise
2022-05-20T04:03:42.000Z,music for a sushi restaurant: i am OBSESSED i want this to be the soundtrack of my life ITS CUZ I LOVE YOU BABE,joy
2022-05-20T04:03:43.000Z,Love of my life elle est incroyable j'adore 🤩,joy
2022-05-20T04:03:43.000Z,It’s 9pm on a Thursday but I’m already excited for Friday because I can listen to all day longgggg,joy
2022-05-20T04:03:43.000Z,MUSIC FOR A SUSHI RESTAURANT IS GOING TO BE AN ✨EXPERIENCE✨ LIVE OMFG,fear
2022-05-20T04:03:43.000Z,that intro was groovy asf,joy
2022-05-20T04:03:43.000Z,ITS HERE IM HOME,sadness
2022-05-20T04:03:43.000Z,YOU KNOW I LOVE YOU BABE,joy
2022-05-20T04:03:43.000Z,"is out now!! I am so proud of you and love this album already. I hope you never forget how much you matter to people like me. Thank you for always making my life better and less lonely. I love you, always. 💕",sadness
2022-05-20T04:03:43.000Z,Never try to convert a Muslim to Christianity You will lose and end up accepting the truth and revert to Islam 👇 Tony is a Christian form Canada : I wanted to bring Muslims to Christianity! but he reverted to Islam,sadness
2022-05-20T04:03:44.000Z,HOLY FUCKING SHIT WHY IS THIS SO GROOVY,joy
2022-05-20T04:03:44.000Z,listening party happening NOW,joy
2022-05-20T04:03:45.000Z,ALRIGHT LETS GOOOO,sadness
2022-05-20T04:03:45.000Z,is out and I’m having a blast. what a gorgeous work of art.,joy
2022-05-20T04:03:45.000Z,is out right now and you should be listening,fear
2022-05-20T04:03:45.000Z,welcome home,joy
2022-05-20T04:03:46.000Z,ma io quanto posso essere fiera,joy
2022-05-20T04:03:46.000Z,SO SO GOOD,joy
2022-05-20T04:03:46.000Z,"Sing it with me now “Holdin’ me back, spotify’s holdin’ me back. I want you to upload the album, not crash, why can’t we leave it at that?”",surpise
2022-05-20T04:03:46.000Z,"is an actual masterpiece, hit after hit asdfghjmk",anger
2022-05-20T04:03:46.000Z,Queer baiting impact,anger
2022-05-20T04:03:46.000Z,Justin was found crying,joy
2022-05-20T04:03:46.000Z,BEEFING,joy
2022-05-20T04:03:47.000Z,"Spotify crashed following the release of new album, .",surpise
2022-05-20T04:03:48.000Z,Track 1 - Okay I’m loving the vibes. The harmonies is carrying the song!!Defintely gonna be a grower but it is a nice intro.,joy
2022-05-20T04:03:47.000Z,"Murdock for a sushi restaurant is literally the ant farm opening, but better",fear
2022-05-20T04:03:48.000Z,Good morning!! Have a lovely day full of music!!! 💚💙,joy
2022-05-20T04:03:47.000Z,meu top 3 do harry’s house 1 - matilda 2 - daylight 3 - love of my life,fear
2022-05-20T04:03:47.000Z,watch multiverse of madness instead,surpise
2022-05-20T04:03:48.000Z,Mood,sadness
2022-05-20T04:03:48.000Z,HERE WE GOOOO,joy
2022-05-20T04:03:49.000Z,COOK AN EGG ON ME,fear
2022-05-20T04:03:49.000Z,music for a sushi restaurant reminds me of the ant farm theme song omg,surpise
2022-05-20T04:03:49.000Z,me listening to music for a sushi restaurant,joy
2022-05-20T04:03:49.000Z,music for sushi restaurant making me want to bust mf move,surpise
2022-05-20T04:03:50.000Z,FAN FAVORITE I call it,joy
2022-05-20T04:03:50.000Z,The best is 🤤🤤🤤🤤🤤,surpise
2022-05-20T04:03:50.000Z,FUXK 41 MINUTES FUCK YES,joy
2022-05-20T04:03:50.000Z,he's handsome btw,joy
2022-05-20T04:03:50.000Z,first song in and already a serve 😍,surpise
2022-05-20T04:03:50.000Z,music for a sushi house very Michael Jackson,joy
2022-05-20T04:03:50.000Z,FINALLYYYYY 😭,joy
2022-05-20T04:03:50.000Z,STREAMM!!!,joy
2022-05-20T04:03:50.000Z,HARRYS HOUSE. OUT NOOWWWW,fear
2022-05-20T04:03:52.000Z,I’m about to start sobbing,sadness
2022-05-20T04:03:51.000Z,we’ve heard the leaks and enough time has passed,joy
2022-05-20T04:03:51.000Z,TRUMPETS?????,joy
2022-05-20T04:03:51.000Z,in the best way this sounds like the ant farm theme song,surpise
2022-05-20T04:03:51.000Z,IM LISTENING RIGHT NOW,fear
2022-05-20T04:03:52.000Z,"if you are not listening with headphones, stop what you’re doing and put them in immediately.",sadness
2022-05-20T04:03:52.000Z,i don’t think i’ve ever had this reaction to an album. i’m in love,surpise
2022-05-20T04:03:52.000Z,WELCOME HARRY'S HOUSE ERA!!!,joy
2022-05-20T04:03:52.000Z,LISTENING AAAAAA,joy
2022-05-20T04:03:52.000Z,SUMMER 22!!!,joy
2022-05-20T04:03:52.000Z,SCREAMING I'M ACTUALLY LISTENING TO HARRY STYLES'S THIRD ALBUM RIGHT NOW WHAT THE FUCKKKKKK 😭😍,fear
2022-05-20T04:03:54.000Z,Hi baby,joy
2022-05-20T04:03:53.000Z,me right now actually,surpise
2022-05-20T04:03:54.000Z,We love it thank you 🤍,joy
2022-05-20T04:03:54.000Z,PRESSES SHUFFLE ON THE HARRY HOUSE ALBUM AND THE FIRST SONG TO PLAY IS MATILDA. AND IM SOBBING ITS SO GOOD HOUSE,fear
2022-05-20T04:03:54.000Z,It’s Time 🫡,joy
2022-05-20T04:03:54.000Z,Oh Shawn Mendes needs to RUN,sadness
2022-05-20T04:03:54.000Z,"harrrry wtffff "" cuzzz I love you babe in every wayyyy"" just a lil taste "" 😭😭😩",joy
2022-05-20T04:03:54.000Z,Music For A Sushi Restaurant is giving glee…,fear
2022-05-20T04:03:55.000Z,am having the same issue :((,joy
2022-05-20T04:03:54.000Z,Making one of my irl listen to 😩🖐️,sadness
2022-05-20T04:03:55.000Z,ITS HEREEEEE IM HOME!!!!!,sadness
2022-05-20T04:03:55.000Z,is here bitches,joy
2022-05-20T04:03:55.000Z,sushi restaurant is…not what i expected,joy
2022-05-20T04:03:55.000Z,PROUD OF HARRY,joy
2022-05-20T04:03:56.000Z,calling it now it’s winning a Grammy,joy
2022-05-20T04:03:55.000Z,IM LISTENING TO IT RN OMFG ITS SOOOOO GOODDDDD,joy
2022-05-20T04:03:55.000Z,YOU KNOW I LOVE YOU BABY,joy
2022-05-20T04:03:56.000Z,WHERE THE HELL IS HARRY’S HOUSE ON SPOTIFY PLEASE I AM BEGGING YOU,sadness
2022-05-20T04:03:56.000Z,I CAN’T,joy
2022-05-20T04:03:56.000Z,IM TRYING,joy
2022-05-20T04:03:56.000Z,Music For a Sushi Restautant!,joy
2022-05-20T04:03:56.000Z,SCREAMING,joy
2022-05-20T04:03:57.000Z,"Music for a Sushi Restaurant His voice I’m P A S S I N G AWAY. God this is so catchy, the trumpets are my new head empty sound",fear
2022-05-20T04:03:56.000Z,MUSIC FOR A SUSHI RESTAURANT IS SOO DIFFERENT I LOVE JT. PERFECT FOR SUMMER,joy
2022-05-20T04:03:56.000Z,at time square slay,surpise
2022-05-20T04:03:56.000Z,MUSIC FOR A SUSHI RESTAURANT ITS GIVING ANT FARM,fear
2022-05-20T04:03:56.000Z,HE IS IN MY EAR,joy
2022-05-20T04:03:56.000Z,"I have no words to express how much I love this album, is such a masterpiece. I love you so much and im very proud of you ❤‍🩹",joy
2022-05-20T04:03:56.000Z,zayn better than him,surpise
2022-05-20T04:03:57.000Z,HARRY STYLES 😫,fear
2022-05-20T04:03:57.000Z,BRUHHH WHYCANT I PLAY IT,fear
2022-05-20T04:03:57.000Z,HARRY STYLES YOU DID IT AGAIN KING I LOVE IT I LOVE YOU,joy
2022-05-20T04:03:58.000Z,I loved that so much wtf,joy
2022-05-20T04:03:57.000Z,Nvm it’s working now,fear
2022-05-20T04:03:57.000Z,"Music for a Sushi Restaurant suena Funky, gracias Harry por tanto",fear
2022-05-20T04:03:57.000Z,oh shit is out gotta goooo listen,surpise
2022-05-20T04:03:57.000Z,STREAM HARRYS HOUSE !!!!!!,fear
2022-05-20T04:03:57.000Z,we’re home,sadness
2022-05-20T04:03:57.000Z,HARRY’S HOUSE ITS HERE OH MY GOD,surpise
2022-05-20T04:03:58.000Z,OK THREAD,joy
2022-05-20T04:03:58.000Z,SO FUCKING TRUEEE,joy
2022-05-20T04:03:58.000Z,“I’m not going to get lost” so true,sadness
2022-05-20T04:03:58.000Z,If you're on the pacific coast PST get on youtube NOW!!!!!!!!!!!!! Its on now at 9pm!!!!,joy
2022-05-20T04:03:58.000Z,get it together here i need to listen to Harry’s house now don’t do this to me man,fear
2022-05-20T04:03:58.000Z,Have I listened Harry's House everyday since April 20th? YES! Am I listening right at midnight for the first time on spotify? ALSO YES! I LOVE THIS ALBUM!!,surpise
2022-05-20T04:03:59.000Z,MUSIC FOR A SUSHI RESTAURANT IS SO GOOD AND TOTALLY NOT WHAT I EXPECTED LOVE THE BASS,joy
2022-05-20T04:03:59.000Z,HARRY’S HOUSE IS OUT OMG,surpise
2022-05-20T04:03:59.000Z,WE BROKE SPOTIFY,surpise
2022-05-20T04:03:59.000Z,Harry Styles photographed for,fear
2022-05-20T04:03:59.000Z,I AM SO PROUD,joy
2022-05-20T04:03:59.000Z,I AM READDY HARRY !!! ❤️💕 OMGGGG,fear
2022-05-20T04:04:00.000Z,LEGEND,joy
2022-05-20T04:04:00.000Z,MUSIC FOR A SUSHI RESTAURANT: I GENUINELY DONT KNOW WHATS GOING ON BUT IT’S FUNKY I LIKE IT,sadness
2022-05-20T04:04:00.000Z,ITS ALRESDY SO GOOD,joy
2022-05-20T04:04:02.000Z,This mf cannot make a fit to save his life,joy
2022-05-20T04:04:02.000Z,MANO,joy
2022-05-20T04:04:03.000Z,Music for. Sushi Restaurant is alleviating my COVID symptoms. Thank you HAROLD,joy
2022-05-20T04:04:03.000Z,I m aboOUT TO CRY RN,joy
2022-05-20T04:04:03.000Z,GET THE HENNESSY WE HERE,joy
2022-05-20T04:04:03.000Z,wait it’s still not letting me play it tf,surpise
2022-05-20T04:04:03.000Z,NONONO TREMENDLO,joy
2022-05-20T04:04:03.000Z,boyfriends,joy
2022-05-20T04:04:03.000Z,this planet is 4.6 billion years old and we are lucky enough to live at the same time as harry styles,joy
2022-05-20T04:04:04.000Z,me looking like a poltergeist haunting the pop up today,joy
2022-05-20T04:04:04.000Z,this isn’t real.,sadness
2022-05-20T04:04:04.000Z,"music for a sushi restaurant: 🐜🦟🐜🦟🐜 *bops head, discos, wants sushi now* scooby doop de doo",fear
2022-05-20T04:04:04.000Z,OMFGGGGGG,joy
2022-05-20T04:04:04.000Z,HIS VOICE I'M SHAKING,fear
